GROUP_AC7	GROUP_AC8	GROUP_AC9	GROUP-BN1	GROUP-BN2	GROUP-BN3
ENSG00000226374.3	0	0	0	0	0	0
ENSG00000284668.2	0	0	0	0	0	0
ENSG00000284703.1	0	0	0	0	0	0
ENSG00000229280.1	1	0	0	0	0	0
ENSG00000235054.4	0	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0
ENSG00000232596.3	0	0	0	0	0	0
ENSG00000196581.11	143	0	0	5	624	0
ENSG00000287586.1	0	0	0	0	0	0
ENSG00000284739.1	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0	0
ENSG00000284692.2	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	5	0
ENSG00000131697.18	728	658	596	832	585	801
ENSG00000069424.15	853	732	518	511	817	319
ENSG00000116254.18	46	75	3	78	119	33
ENSG00000285629.1	0	0	0	0	0	5
ENSG00000116251.11	7090	7574	5140	5741	9478	5093
ENSG00000226944.1	2	14	11	4	12	21
ENSG00000158286.13	512	485	835	799	748	472
ENSG00000116237.16	7234	6706	7252	11217	12283	10931
ENSG00000225077.3	0	0	0	3	7	6
ENSG00000173673.8	0	0	0	0	0	0
ENSG00000158292.7	908	685	373	222	350	732
ENSG00000097021.20	1332	883	401	2787	1614	3325
ENSG00000271746.1	6	3	1	0	13	13
ENSG00000069812.11	11	3	1	1	0	0
ENSG00000187017.17	3	2	0	2	3	0
ENSG00000265392.1	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0
ENSG00000215788.11	52	152	171	206	193	228
ENSG00000171680.23	481	785	653	945	1224	941
ENSG00000162408.11	2445	3095	3466	4538	4189	3995
ENSG00000253022.1	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	2	0	0
ENSG00000173662.21	0	0	0	0	0	0
ENSG00000204859.13	348	396	617	545	552	602
ENSG00000162413.16	3633	10321	3945	5581	7461	4383
ENSG00000116273.6	2796	3667	2110	2288	3467	3141
ENSG00000041988.15	418	686	731	528	680	609
ENSG00000007923.16	2314	2101	2094	3835	3770	3645
ENSG00000228750.7	0	0	0	0	0	0
ENSG00000284744.1	0	0	1	0	0	0
ENSG00000237436.1	3	5	6	9	21	11
ENSG00000171735.19	998	795	772	1061	1860	1072
ENSG00000227950.1	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0
ENSG00000237402.1	0	0	0	0	0	0
ENSG00000237728.2	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	3
ENSG00000270171.1	1	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0
ENSG00000049245.13	9222	8371	7321	8571	12408	9084
ENSG00000269925.1	16	22	20	43	45	84
ENSG00000049246.15	1234	1809	1013	740	1450	867
ENSG00000236266.1	3	4	0	11	0	0
ENSG00000049247.14	0	0	0	1	0	0
ENSG00000049249.9	0	0	0	0	0	0
ENSG00000270330.1	0	0	0	0	0	0
ENSG00000116288.13	5190	4570	4216	6136	7519	6056
ENSG00000200344.1	0	0	0	0	0	0
ENSG00000284747.1	15	19	26	33	10	29
ENSG00000284716.1	0	0	0	0	0	0
ENSG00000116285.13	3206	5480	3523	5363	5126	5422
ENSG00000238290.1	5	16	12	3	12	3
ENSG00000232848.1	1	2	2	1	8	1
ENSG00000229305.1	0	0	0	3	0	0
ENSG00000227634.3	0	0	0	2	7	0
ENSG00000200975.1	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0
ENSG00000162426.16	273	381	334	200	349	320
ENSG00000252254.1	0	3	0	2	0	0
ENSG00000142599.19	13415	18162	13922	15557	18636	16253
ENSG00000232912.6	0	0	10	14	15	8
ENSG00000221083.1	1	3	0	2	5	3
ENSG00000270282.1	0	0	0	0	0	0
ENSG00000234619.1	0	2	1	0	1	1
ENSG00000224315.2	14	10	2	21	23	15
ENSG00000222511.2	0	0	1	3	5	0
ENSG00000226545.1	1	0	0	0	0	0
ENSG00000228423.2	0	9	17	16	30	18
ENSG00000229716.2	0	0	0	0	0	0
ENSG00000074800.16	27664	28781	27929	58009	43593	55060
