"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_symbol"	"label"
"ENSG00000006118"	5631.62711357189	2.17660797462652	0.112547312294204	19.3394931452185	2.49919451127389e-83	1.49440979588561e-81	"TMEM132A"	"TMEM132A"
"ENSG00000006125"	23765.6571362733	0.464545255375899	0.0710605858753874	6.53731248698865	6.2634096685538e-11	2.44031655722467e-10	"AP2B1"	"AP2B1"
"ENSG00000006194"	2625.03250677253	0.406922751753455	0.0458860874360214	8.86810740446816	7.43995526963963e-19	4.53684169998082e-18	"ZNF263"	"ZNF263"
"ENSG00000006451"	4779.68252769463	0.242142655940055	0.0432856772561943	5.59405954322693	2.21820825065576e-08	7.1669664133395e-08	"RALA"	"RALA"
"ENSG00000006468"	892.778910199429	-1.03078575951343	0.105038258118452	-9.81343158176719	9.85586696330924e-23	7.29914095574405e-22	"ETV1"	"ETV1"
"ENSG00000006576"	2106.00301743889	0.683398093449707	0.0554485098016521	12.3249136161518	6.65147226158232e-35	8.4077195271945e-34	"PHTF2"	"PHTF2"
"ENSG00000006652"	539.906681677766	-0.537209923860163	0.0910772452399675	-5.89839890792414	3.67045734988043e-09	1.26036533275689e-08	"IFRD1"	"IFRD1"
"ENSG00000006837"	32.8884758253898	0.591929119119084	0.08045610936385	7.35716807336754	1.87852769169764e-13	8.61014846062492e-13	"CDKL3"	"CDKL3"
"ENSG00000007062"	4387.08427685624	-0.548861747183773	0.230696516740031	-2.37915056083087	0.0173525867402325	0.0292615923348707	"PROM1"	"PROM1"
"ENSG00000007168"	7328.33928267651	-0.437991485751093	0.0433410185835142	-10.1057035590228	5.21201045503424e-24	4.11303437560599e-23	"PAFAH1B1"	"PAFAH1B1"
"ENSG00000007237"	2982.86404925179	-1.08755520226693	0.10167333907967	-10.6965622660896	1.05624452087633e-26	9.38216058953325e-26	"GAS7"	"GAS7"
"ENSG00000007255"	1625.03741567395	0.931331397347048	0.0886878754388517	10.5012257057525	8.52657004628149e-26	7.29024853117055e-25	"TRAPPC6A"	"TRAPPC6A"
"ENSG00000008130"	3467.56784689343	-0.129012247784614	0.0463434298439507	-2.78383037722994	0.00537211203825056	0.00980899639774164	"NADK"	"NADK"
"ENSG00000008394"	11019.4843252291	-1.171595152387	0.121557074867097	-9.6382308777005	5.51298658258919e-22	3.92993349264351e-21	"MGST1"	"MGST1"
"ENSG00000008441"	9571.55612172801	-0.806445112373111	0.106979368458126	-7.53832373471873	4.76050874698719e-14	2.25366046040384e-13	"NFIX"	"NFIX"
"ENSG00000008513"	7532.7750752712	0.854135086500729	0.0974706180684372	8.76300061933549	1.90120616777131e-18	1.13785597309284e-17	"ST3GAL1"	"ST3GAL1"
"ENSG00000008710"	2770.61076850453	-0.57986425061844	0.0722507258328463	-8.02572214928288	1.00930430609601e-15	5.27465427072389e-15	"PKD1"	"PKD1"
"ENSG00000008838"	6872.48053951153	0.770054048287025	0.0998182449333683	7.71456209033789	1.21398324531702e-14	5.97672928977318e-14	"MED24"	"MED24"
"ENSG00000009307"	40773.6537860297	-0.671302030884956	0.0493779943235006	-13.5951660265281	4.27788829499632e-42	7.02281661892453e-41	"CSDE1"	"CSDE1"
"ENSG00000009335"	6771.00588476515	0.144224037180158	0.0501099275336057	2.87815297843796	0.00400011108992371	0.00743696943295986	"UBE3C"	"UBE3C"
"ENSG00000009413"	1868.79625008194	-1.00952079059714	0.0803080548108474	-12.570604442791	3.06372555435368e-36	4.06471041243523e-35	"REV3L"	"REV3L"
"ENSG00000009954"	8873.65279016364	0.349621887965361	0.0465324765360828	7.51350269728825	5.75659562277606e-14	2.71533152386032e-13	"BAZ1B"	"BAZ1B"
"ENSG00000010030"	397.426639247573	2.00776649031774	0.132216765449234	15.1854152799453	4.41756611019913e-52	1.02645382272716e-50	"ETV7"	"ETV7"
"ENSG00000010072"	992.179270471533	0.439805941518415	0.050053822649656	8.78666040347745	1.54071634498289e-18	9.2553681385808e-18	"SPRTN"	"SPRTN"
"ENSG00000010165"	3329.99461213348	0.624149275039421	0.0492231160038886	12.680003334005	7.63286207979049e-37	1.03917011507936e-35	"METTL13"	"METTL13"
"ENSG00000010244"	7809.2095581918	0.241580211052247	0.0350749994602198	6.88753285160373	5.67682665552735e-12	2.37693636211581e-11	"ZNF207"	"ZNF207"
"ENSG00000010292"	5954.89146982518	0.896266794925153	0.0817302255556374	10.9661607909674	5.55826711677743e-28	5.23196755945957e-27	"NCAPD2"	"NCAPD2"
"ENSG00000010361"	875.044626627355	0.199616645278224	0.0788101200148509	2.53288086911438	0.0113129393812492	0.0196830851664841	"FUZ"	"FUZ"
"ENSG00000010626"	655.723171552994	0.540788019350943	0.0775232783562894	6.97581463035573	3.04103483183572e-12	1.29602449323274e-11	"LRRC23"	"LRRC23"
"ENSG00000010803"	2530.91838473993	-0.311208279721744	0.0517862804690826	-6.00947349187477	1.86126792299651e-09	6.53208636194414e-09	"SCMH1"	"SCMH1"
"ENSG00000010810"	2076.54516712568	-0.922875777497667	0.0860668068114817	-10.7227839824371	7.95715339773207e-27	7.10573950184657e-26	"FYN"	"FYN"
"ENSG00000010818"	2266.92566089053	-0.603470417602224	0.0779832201694861	-7.73846497093428	1.00624263709638e-14	4.9754229875227e-14	"HIVEP2"	"HIVEP2"
"ENSG00000011114"	2643.31931210341	-0.443636093397786	0.0549653785277157	-8.07119145325429	6.96154548951326e-16	3.66801215191324e-15	"BTBD7"	"BTBD7"
"ENSG00000011132"	729.782828633968	0.532018964519935	0.0624286624759269	8.52203048119262	1.56780113245286e-17	8.9464721828601e-17	"APBA3"	"APBA3"
"ENSG00000011376"	1650.42846647348	0.330139897683965	0.0452125026068346	7.30196026870805	2.83605026240295e-13	1.28816330312094e-12	"LARS2"	"LARS2"
"ENSG00000011405"	4575.24329672233	-0.362044191792591	0.0687158027275908	-5.26871807388817	1.37379768188401e-07	4.15082650140743e-07	"PIK3C2A"	"PIK3C2A"
"ENSG00000011454"	4802.99571785514	-0.262697588910944	0.0419751527930038	-6.25840697248705	3.88929784246535e-10	1.43519014016573e-09	"RABGAP1"	"RABGAP1"
"ENSG00000011465"	45842.7515566487	-1.9898777835179	0.120045925628676	-16.5759710135683	1.03969844457856e-61	3.17745960673421e-60	"DCN"	"DCN"
"ENSG00000011523"	2173.0682538658	-1.20974310530984	0.0470180135082925	-25.7293538166278	5.48858724297994e-146	1.30444494779858e-143	"CEP68"	"CEP68"
"ENSG00000011638"	2950.74972946257	-0.201570540250006	0.0673944705408681	-2.990906206879	0.00278150912443267	0.00528868165462777	"LDAF1"	"LDAF1"
"ENSG00000012048"	1200.49094623808	1.10783942830612	0.090321042418437	12.2655739863337	1.38626453504288e-34	1.73172106538707e-33	"BRCA1"	"BRCA1"
"ENSG00000012061"	2913.73621929179	0.208897193806855	0.053169137354967	3.92891824466172	8.53288406885692e-05	0.000196011005840389	"ERCC1"	"ERCC1"
"ENSG00000012171"	2140.09200770039	0.597821837663115	0.158480655207261	3.7722070045791	0.00016180992304831	0.000360227311926294	"SEMA3B"	"SEMA3B"
"ENSG00000012211"	593.813286496182	0.500439297564392	0.0525588053062835	9.5215120406202	1.70677333771541e-21	1.18826710800875e-20	"PRICKLE3"	"PRICKLE3"
"ENSG00000012983"	2999.35062436228	-0.208078922355257	0.0493790941152059	-4.21390724321086	2.50990397640804e-05	6.11191055159019e-05	"MAP4K5"	"MAP4K5"
