,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Ligand,Receptor
GPR151,3.44E-20,-1.142177904,0.153,0.312,6.22E-16,GPR15,iCAF,FALSE,TRUE
ANOS1,2.00E-19,-1.010198546,0.222,0.378,3.61E-15,ANOS1,iCAF,TRUE,FALSE
CD2261,1.21E-18,-1.022132542,0.146,0.3,2.19E-14,CD226,iCAF,TRUE,TRUE
APOD1,1.90E-18,-1.39115292,0.196,0.332,3.43E-14,APOD,iCAF,TRUE,FALSE
GPC4,8.25E-18,-1.040014345,0.128,0.278,1.49E-13,GPC4,iCAF,FALSE,TRUE
TNXB1,2.87E-17,-1.130453482,0.278,0.405,5.19E-13,TNXB,iCAF,TRUE,FALSE
IL331,5.33E-17,-1.094337152,0.168,0.31,9.63E-13,IL33,iCAF,TRUE,FALSE
MUC15,8.11E-17,-1.058545745,0.187,0.327,1.47E-12,MUC15,iCAF,FALSE,TRUE
IL17RB,1.93E-16,-1.055625747,0.139,0.278,3.49E-12,IL17RB,iCAF,FALSE,TRUE
NCR3LG1,3.86E-16,-1.13851131,0.119,0.251,6.98E-12,NCR3LG1,iCAF,TRUE,FALSE
ADAMTS13,2.44E-15,-1.068438393,0.122,0.251,4.42E-11,ADAMTS13,iCAF,FALSE,TRUE
TNFRSF13B1,1.70E-14,-1.047855213,0.161,0.288,3.07E-10,TNFRSF13B,iCAF,FALSE,TRUE
GRIN2D,2.00E-14,-1.009025989,0.151,0.279,3.62E-10,GRIN2D,iCAF,FALSE,TRUE
LY861,1.85E-13,-1.014111305,0.13,0.25,3.35E-09,LY86,iCAF,TRUE,FALSE
CD191,2.94E-13,-1.03754217,0.13,0.25,5.31E-09,CD19,iCAF,FALSE,TRUE
ADRA2A1,9.30E-12,-1.199022231,0.15,0.25,1.68E-07,ADRA2A,iCAF,FALSE,TRUE
GDF15,9.57E-12,-1.250481628,0.16,0.269,1.73E-07,GDF15,iCAF,TRUE,FALSE
COL11A11,0,3.36335586,0.633,0.111,0,COL11A1,myCAF,TRUE,FALSE
ITGA11,0,2.952252495,0.407,0.07,0,ITGA11,myCAF,FALSE,TRUE
NTM1,0,2.764597163,0.378,0.067,0,NTM,myCAF,TRUE,TRUE
COL10A1,0,2.694456539,0.715,0.183,0,COL10A1,myCAF,TRUE,FALSE
WNT21,0,2.590062356,0.375,0.079,0,WNT2,myCAF,TRUE,FALSE
COL8A1,0,2.588494411,0.583,0.139,0,COL8A1,myCAF,TRUE,FALSE
FAP,0,2.476007384,0.719,0.187,0,FAP,myCAF,TRUE,TRUE
POSTN,0,2.409269522,0.969,0.432,0,POSTN,myCAF,TRUE,FALSE
MFAP51,0,2.24849386,0.5,0.116,0,MFAP5,myCAF,TRUE,FALSE
SCN9A1,0,2.217241734,0.413,0.138,0,SCN9A,myCAF,FALSE,TRUE
ADAM12,0,2.208174717,0.76,0.26,0,ADAM12,myCAF,TRUE,TRUE
BMP8A1,0,2.154245675,0.342,0.092,0,BMP8A,myCAF,TRUE,FALSE
GREM11,0,2.121460421,0.797,0.294,0,GREM1,myCAF,TRUE,FALSE
F2RL2,0,2.073588434,0.338,0.1,0,F2RL2,myCAF,FALSE,TRUE
GPC6,0,2.07324533,0.255,0.068,0,GPC6,myCAF,TRUE,FALSE
MMP12,0,2.010741655,0.632,0.255,0,MMP1,myCAF,TRUE,TRUE
NID2,0,1.980042489,0.7,0.241,0,NID2,myCAF,TRUE,FALSE
